,goleador_local,goleador_visitante,equipo_local,equipo_visitante
458,[],['Matías Suárez'],Sarmiento,Arsenal de Sarandí
459,['L. Faravelli'],[],Sarmiento,Arsenal de Sarandí
461,[],['J. Blanco'],Sarmiento,Arsenal de Sarandí
465,[],['C. Tévez'],Sarmiento,Arsenal de Sarandí
467,[],['R. Centurión'],Sarmiento,Arsenal de Sarandí
468,['J. Mattia'],[],Sarmiento,Arsenal de Sarandí
469,['F. Barcelo'],[],Sarmiento,Arsenal de Sarandí
474,[],['M. Fritzler'],Sarmiento,Arsenal de Sarandí
475,[],['M. Meza'],Sarmiento,Arsenal de Sarandí
476,[],['G. Denis'],Sarmiento,Arsenal de Sarandí
477,['M. Lovera'],[],Sarmiento,Arsenal de Sarandí
479,[],['A. Silva'],Sarmiento,Arsenal de Sarandí
481,['D. Barbona'],[],Sarmiento,Arsenal de Sarandí
482,['L. Rodríguez'],[],Sarmiento,Arsenal de Sarandí
484,[],['G. Papa'],Sarmiento,Arsenal de Sarandí
486,['L. Chacana'],[],Sarmiento,Arsenal de Sarandí
489,[],['L. Contín'],Sarmiento,Arsenal de Sarandí
490,[],['A. Alegre'],Sarmiento,Arsenal de Sarandí
491,[],['N. Bandiera'],Sarmiento,Arsenal de Sarandí
494,[],['M. Bareiro'],Sarmiento,Arsenal de Sarandí
496,['B. Pitton'],[],Sarmiento,Arsenal de Sarandí
497,['W. Andrade'],[],Sarmiento,Arsenal de Sarandí
498,['R. Vera'],[],Sarmiento,Arsenal de Sarandí
499,['K. Itabel'],[],Sarmiento,Arsenal de Sarandí
500,[],['J. Cobo'],Sarmiento,Arsenal de Sarandí
501,[],['G. Herrera'],Sarmiento,Arsenal de Sarandí
502,[],['H. Menosse'],Sarmiento,Arsenal de Sarandí
504,['M. Velázquez'],[],Sarmiento,Arsenal de Sarandí
509,['L. Marín'],[],Sarmiento,Arsenal de Sarandí
510,[],['L. Giannetti'],Sarmiento,Arsenal de Sarandí
511,[],['H. Barcos'],Sarmiento,Arsenal de Sarandí
520,['D. Mateo'],[],Sarmiento,Arsenal de Sarandí
521,[],['M. Gelabert'],Sarmiento,Arsenal de Sarandí
524,['R. Cabalucci'],[],Sarmiento,Arsenal de Sarandí
525,[],['Lucas Alario'],Sarmiento,Arsenal de Sarandí
529,[],['A. Solari'],Sarmiento,Arsenal de Sarandí
531,[],['J. Toledo'],Sarmiento,Arsenal de Sarandí
533,['D. Arce'],[],Sarmiento,Arsenal de Sarandí
536,[],['J. Sánchez Sotelo'],Sarmiento,Arsenal de Sarandí
538,['G. Graciani'],[],Sarmiento,Arsenal de Sarandí
540,['A. Gagliardi'],[],Sarmiento,Arsenal de Sarandí
542,['Paulo Diaz'],[],Sarmiento,Arsenal de Sarandí
544,[],['C. Lema'],Sarmiento,Arsenal de Sarandí
547,[],['S. Pérez'],Sarmiento,Arsenal de Sarandí
548,[],['N. Briasco'],Sarmiento,Arsenal de Sarandí
549,['Lautaro Martínez'],[],Sarmiento,Arsenal de Sarandí
553,['F. Rinaudo'],[],Sarmiento,Arsenal de Sarandí
555,['M. Matos'],[],Sarmiento,Arsenal de Sarandí
556,['L. Vázquez'],[],Sarmiento,Arsenal de Sarandí
559,['M. Guevgeozián'],[],Sarmiento,Arsenal de Sarandí
561,['J. Mendez'],[],Sarmiento,Arsenal de Sarandí
562,['F. Álvarez'],[],Sarmiento,Arsenal de Sarandí
563,[],['H. Cuevas'],Sarmiento,Arsenal de Sarandí
564,['N. Bandiera'],[],Sarmiento,Arsenal de Sarandí
565,[],['E. Tellechea'],Sarmiento,Arsenal de Sarandí
566,['G. Conti'],[],Sarmiento,Arsenal de Sarandí
567,['C. Bernardi'],[],Sarmiento,Arsenal de Sarandí
569,[],['E. Gigliotti'],Sarmiento,Arsenal de Sarandí
573,['M. De Iriondo'],[],Sarmiento,Arsenal de Sarandí
574,[],['Y. Garnier'],Sarmiento,Arsenal de Sarandí
575,[],['N. Silva'],Sarmiento,Arsenal de Sarandí
576,['L. Algozino'],[],Sarmiento,Arsenal de Sarandí
581,[],['B. Alemán'],Sarmiento,Arsenal de Sarandí
582,['N. Romat'],[],Sarmiento,Arsenal de Sarandí
583,['M. González'],[],Sarmiento,Arsenal de Sarandí
584,['J. Velázquez'],[],Sarmiento,Arsenal de Sarandí
585,['F. Márquez'],[],Sarmiento,Arsenal de Sarandí
587,['G. Núñez'],[],Sarmiento,Arsenal de Sarandí
588,['G. Bojanich'],[],Sarmiento,Arsenal de Sarandí
589,['Pol Fernández'],[],Sarmiento,Arsenal de Sarandí
590,['G. Giménez'],[],Sarmiento,Arsenal de Sarandí
592,['L. Desábato'],[],Sarmiento,Arsenal de Sarandí
593,['Y. Cabral'],[],Sarmiento,Arsenal de Sarandí
594,['O. Benítez'],[],Sarmiento,Arsenal de Sarandí
596,[],['E. Reynoso'],Sarmiento,Arsenal de Sarandí
600,['Franco Bellocq'],[],Sarmiento,Arsenal de Sarandí
602,[],['A. Rojas'],Sarmiento,Arsenal de Sarandí
608,['D. Cvitanich'],[],Sarmiento,Arsenal de Sarandí
609,['N. Bertolo'],[],Sarmiento,Arsenal de Sarandí
611,['M. Lucero'],[],Sarmiento,Arsenal de Sarandí
612,['T. Gutiérrez'],[],Sarmiento,Arsenal de Sarandí
613,[],['M. Sarulyte'],Sarmiento,Arsenal de Sarandí
614,['E. Cerutti'],[],Sarmiento,Arsenal de Sarandí
615,['Chimy Ávila'],[],Sarmiento,Arsenal de Sarandí
617,['N. Mazzola'],[],Sarmiento,Arsenal de Sarandí
620,[],['F. Henríquez'],Sarmiento,Arsenal de Sarandí
622,[],['Juan Otero'],Sarmiento,Arsenal de Sarandí
625,['G. Campi'],[],Sarmiento,Arsenal de Sarandí
626,[],['G. Campi'],Sarmiento,Arsenal de Sarandí
628,['F. Pereyra'],[],Sarmiento,Arsenal de Sarandí
635,['C. Chimino'],[],Sarmiento,Arsenal de Sarandí
639,['J. Galván'],[],Sarmiento,Arsenal de Sarandí
640,[],['L. Wilchez'],Sarmiento,Arsenal de Sarandí
643,[],['M. Bogado'],Sarmiento,Arsenal de Sarandí
645,[],['E. Parnisari'],Sarmiento,Arsenal de Sarandí
647,[],['N. Domínguez'],Sarmiento,Arsenal de Sarandí
648,[],['J. Sánchez Miño'],Sarmiento,Arsenal de Sarandí
649,[],['N. Mazzola'],Sarmiento,Arsenal de Sarandí
650,['E. Rigoni'],[],Sarmiento,Arsenal de Sarandí
651,[],['J. Martínez'],Sarmiento,Arsenal de Sarandí
656,[],['P. Álvarez'],Sarmiento,Arsenal de Sarandí
660,[],['P. Cuadra'],Sarmiento,Arsenal de Sarandí
666,[],['G. Bettini'],Sarmiento,Arsenal de Sarandí
667,[],['Jorge Rodríguez'],Sarmiento,Arsenal de Sarandí
669,[],['B. Sarmiento'],Sarmiento,Arsenal de Sarandí
670,['M. Herrera'],[],Sarmiento,Arsenal de Sarandí
673,[],['F. Carrizo'],Sarmiento,Arsenal de Sarandí
674,[],['F. Bordagaray'],Sarmiento,Arsenal de Sarandí
676,['A. Cardozo'],[],Sarmiento,Arsenal de Sarandí
678,[],['B. Merlini'],Sarmiento,Arsenal de Sarandí
682,['Ramón Miérez'],[],Sarmiento,Arsenal de Sarandí
685,[],['R. Mora'],Sarmiento,Arsenal de Sarandí
687,['L. Gamba'],[],Sarmiento,Arsenal de Sarandí
690,[],['J. Gandolfi'],Sarmiento,Arsenal de Sarandí
693,[],['M. Aguirregaray'],Sarmiento,Arsenal de Sarandí
695,[],['S. Dubarbier'],Sarmiento,Arsenal de Sarandí
697,[],['J. Cascini'],Sarmiento,Arsenal de Sarandí
700,['F. Carrizo'],[],Sarmiento,Arsenal de Sarandí
707,[],['N. Romat'],Sarmiento,Arsenal de Sarandí
711,['E. Reynoso'],[],Sarmiento,Arsenal de Sarandí
714,['Cristian Romero'],[],Sarmiento,Arsenal de Sarandí
716,[],['E. Barco'],Sarmiento,Arsenal de Sarandí
718,[],['D. Rodríguez'],Sarmiento,Arsenal de Sarandí
719,[],['L. Albertengo'],Sarmiento,Arsenal de Sarandí
